id,story,users,url
5964922,Werde unpopuläre Entscheidungen treffen: Mückstein wird neuer Gesundheitsminister,36868,https://www.diepresse.com/5964922
5999099,Schellhorn: In der ÖVP gilt mein Dank Gernot Blümel,35815,https://www.diepresse.com/5999099
5950925,Kickl ist das Ventil: Bei Druck sehr laut,35565,https://www.diepresse.com/5950925
5943786,"Vizekanzler Kogler: Ich erwarte, dass die Attacken der ÖVP aufhören",35415,https://www.diepresse.com/5943786
5951166,Oppositions-Kritik an Kurz: Unglaubwürdiger geht es nicht,35248,https://www.diepresse.com/5951166
5973702,"Frauenmord in Wien: Wir haben geglaubt, es ist ein Terroranschlag ",34797,https://www.diepresse.com/5973702
5952424,Lockern oder Lockdown?,33591,https://www.diepresse.com/5952424
5984142,Wer einen Kanzler absetzen kann,33510,https://www.diepresse.com/5984142
5958799,Wer die Ostregion verlassen darf,33491,https://www.diepresse.com/5958799
5966411,"Martin Kocher: Die Angriffe nehmen einen mehr mit, als man denkt",33089,https://www.diepresse.com/5966411
5943474,"Gernot Blümel, ein grüner Glücksfall",33088,https://www.diepresse.com/5943474
5945590,Tiroler Bezirk Schwaz soll durchgeimpft werden,32450,https://www.diepresse.com/5945590
5946626,Run auf Hacklerregelung,32001,https://www.diepresse.com/5946626
6001947,Kurz sagt zum zweiten Mal im U-Ausschuss aus,31321,https://www.diepresse.com/6001947
5930926,"Öffnen Schulen, Handel und Friseure? Regierung berät über Lockerungen",31014,https://www.diepresse.com/5930926
5936010,Wie es zur Hausdurchsuchung bei Finanzminister Blümel kam,30152,https://www.diepresse.com/5936010
5976249,VfgH wendet sich an Van der Bellen: Blümel kommt Exekution zuvor,29952,https://www.diepresse.com/5976249
5955781,Kickl: Haimbuchners Erkrankung ändert nichts an FPÖ-Linie,29522,https://www.diepresse.com/5955781
5992984,Eine Entschuldigung von Kurz? Das wäre angebracht,29345,https://www.diepresse.com/5992984
5991972,Szenen einer lieblosen Koaltionsehe,28526,https://www.diepresse.com/5991972
5964683,Das Rudi-Anschober-Vakuum,28024,https://www.diepresse.com/5964683
5973821,"Precht: Früher wurde Treue, heute wird Untreue belohnt",27788,https://www.diepresse.com/5973821
5963966,Gernot Blümel: Das passiert ja wohl in jeder Regierung,27241,https://www.diepresse.com/5963966
5961644,Wird der harte Lockdown im Osten Österreichs verlängert?,26655,https://www.diepresse.com/5961644
5994365,U-Ausschuss: Die halbe Regierung muss in den Zeugenstand,26447,https://www.diepresse.com/5994365
5954028,Doskozil bezeichnet Kurz als Florian Silbereisen der Politik,26252,https://www.diepresse.com/5954028
5983669,Wie werde ich ihn los? Anleitung in fünf Schritten,25962,https://www.diepresse.com/5983669
5944811,Kurz will sich bei Impfstoffen nicht mehr auf EU verlassen,25831,https://www.diepresse.com/5944811
5958764,"Was sagte, wusste, schrieb Sebastian Kurz?",25697,https://www.diepresse.com/5958764
5980613,Wie sich der Kanzler verteidigen wird,25645,https://www.diepresse.com/5980613
6006094,Kurz: Wendepunkt in der Pandemiebekämpfung,25227,https://www.diepresse.com/6006094
5975545,Grüne lassen sich überfahren: SPÖ kritisiert Mückstein,25008,https://www.diepresse.com/5975545
5975181,Getötete Frau: Was wird aus den Kindern?,24766,https://www.diepresse.com/5975181
5938347,Wie sich eine militante Minderheit unter den Eltern gegen die Schüler-Tests wehrt,24765,https://www.diepresse.com/5938347
5980708,Sondersitzung im Nationalrat: Kurz und Blümel im Fokus,24750,https://www.diepresse.com/5980708
5979524,Sebastian Kurz: Schuldig oder unschuldig?,24746,https://www.diepresse.com/5979524
5959803,Causa Öbag: Nach den Chats die E-Mails,24462,https://www.diepresse.com/5959803
5965744,Opposition will Herausgabe von Kurz' Handydaten erzwingen,24283,https://www.diepresse.com/5965744
6013207,Weisung: Kurz wird von einem Richter befragt,23442,https://www.diepresse.com/6013207
5956571,BVT: IT-Techniker saugte illegal Handydaten ab,23416,https://www.diepresse.com/5956571
6004056,"Strache vor Gericht: Ja, ich bin ein Bargeld-Fetischist",23163,https://www.diepresse.com/6004056
5981093,Gegendarstellung,23113,https://www.diepresse.com/5981093
5990410,Hat Kurz Löger von der Hausdurchsuchung erzählt?,23072,https://www.diepresse.com/5990410
5938699,Das Handy war Zeuge,23019,https://www.diepresse.com/5938699
5932144,"Kickl: Genügt, wenn Gesetzesbrecher in der Regierung sitzen",22840,https://www.diepresse.com/5932144
5964726,Künftig wieder mildere Strafen bei Vergewaltigung?,22488,https://www.diepresse.com/5964726
5986675,Die Wandlung der Klaudia Tanner,22482,https://www.diepresse.com/5986675
5968366,Türkis-Grün plant Sprungbrett für Langzeitarbeitslose,22207,https://www.diepresse.com/5968366
5970745,Der König von Steyr und seine gut bezahlten Arbeiter,22038,https://www.diepresse.com/5970745
5965289,"Rudolf Anschober, Minister der vielen Entschuldigungen",21355,https://www.diepresse.com/5965289
5972420,Geimpfter FPÖ-Chef warnt vor Spaltung in Gut und Böse,21083,https://www.diepresse.com/5972420
5956567,"Lockdown in Ostösterreich: Handel schließt, Fernunterricht kommt",21059,https://www.diepresse.com/5956567
5951764,Angst vor Thrombosen: Experten geben Entwarnung,20947,https://www.diepresse.com/5951764
